GroupID,PiecesA,PiecesB,Packings,Islands,MaxEstimatedDiameter,StartStateA,StartStateB,EndStateA,EndStateB,TimeTaken(ms)
6753/11930,3L/3L/2I/1/0/0,0/0/3L270/1/3L180/2I,2262016,37191,81,4 0 0 0 | 1 0 0 3 | 1 1 2 3 | 0 0 2 2,4 0 5 5 | 0 3 3 5 | 0 3 6 0 | 0 0 6 0,4 0 0 0 | 2 0 0 3 | 2 2 1 3 | 0 0 1 1,4 0 5 5 | 0 3 3 5 | 0 3 6 0 | 0 0 6 0,5681.275667
6773/11930,3L/3L/2I/1/0/0,0/0/3L270/1/3L/2I,2346240,35879,69,0 2 4 0 | 0 2 2 0 | 0 3 1 0 | 0 3 1 1,0 0 5 0 | 0 4 5 5 | 3 3 0 6 | 3 0 0 6,0 1 4 0 | 0 1 1 0 | 0 3 2 0 | 0 3 2 2,0 0 5 0 | 0 4 5 5 | 3 3 0 6 | 3 0 0 6,5920.992666
6751/11929,3L/3L/2I/1/0/0,3L270/0/0/1/3L270/2I,2262016,31874,78,3 0 4 0 | 3 1 0 0 | 2 1 1 0 | 2 2 0 0,0 0 0 0 | 6 1 1 4 | 6 1 5 5 | 0 0 5 0,1 0 0 0 | 1 1 0 0 | 4 2 0 3 | 0 2 2 3,1 1 0 6 | 1 5 5 6 | 0 5 0 0 | 0 4 0 0,5813.103291
6738/11930,3L/3L/2I/1/0/0,0/0/1/3L/3L180/2I90,2839552,38245,104,0 4 0 0 | 0 3 0 0 | 2 3 1 0 | 2 2 1 1,0 4 5 5 | 0 4 4 5 | 0 3 0 0 | 6 6 0 0,0 4 0 0 | 0 3 0 0 | 1 3 2 0 | 1 1 2 2,0 4 5 5 | 0 4 4 5 | 0 3 0 0 | 6 6 0 0,7283.799791
6750/11929,3L/3L/2I/1/0/0,1/0/0/3L270/3L270/2I,2262016,33600,95,1 0 0 0 | 1 1 2 0 | 0 3 2 2 | 0 3 4 0,0 1 0 6 | 0 0 0 6 | 5 5 4 4 | 5 0 4 0,3 0 0 0 | 3 2 0 0 | 1 2 2 0 | 1 1 4 0,0 0 6 0 | 5 5 6 0 | 5 1 4 4 | 0 0 4 0,5718.717625
6772/11930,3L/3L/2I/1/0/0,0/0/1/2I/3L270/3L,2346240,43829,77,2 0 0 0 | 2 2 0 0 | 0 3 1 4 | 0 3 1 1,6 0 5 5 | 6 6 5 0 | 0 3 4 0 | 0 0 4 0,1 0 0 0 | 1 1 0 0 | 0 3 2 4 | 0 3 2 2,6 0 5 5 | 6 6 5 0 | 0 3 4 0 | 0 0 4 0,5746.098667
6744/11930,3L/3L/2I/1/0/0,0/0/3L/1/3L90/2I90,2346240,36177,63,0 2 0 0 | 0 2 2 3 | 0 4 1 3 | 0 0 1 1,0 5 6 6 | 5 5 3 0 | 4 0 3 3 | 0 0 0 0,0 1 0 0 | 0 1 1 3 | 0 4 2 3 | 0 0 2 2,0 5 6 6 | 5 5 3 0 | 4 0 3 3 | 0 0 0 0,5842.54075
6752/11929,3L/3L/2I/1/0/0,0/0/1/3L270/3L180/2I,2262016,39539,73,0 3 0 0 | 0 3 1 0 | 4 2 1 1 | 0 2 2 0,6 0 0 0 | 6 3 5 5 | 4 4 0 5 | 4 0 0 0,0 3 0 0 | 0 3 2 0 | 4 1 2 2 | 0 1 1 0,6 0 0 0 | 6 3 5 5 | 4 4 0 5 | 4 0 0 0,5484.527625
6755/11930,3L/3L/2I/1/0/0,3L180/0/0/1/3L270/2I,2262016,31563,65,0 3 0 0 | 0 3 0 0 | 1 0 2 4 | 1 1 2 2,0 6 5 5 | 0 6 5 0 | 1 1 4 0 | 0 1 0 0,0 0 0 0 | 0 1 0 3 | 2 1 1 3 | 2 2 4 0,5 5 0 0 | 5 1 1 0 | 6 0 1 0 | 6 4 0 0,5777.1735
6751/11929,3L/3L/2I/1/0/0,3L270/0/1/0/3L270/2I,2262016,23891,78,4 0 1 0 | 0 0 1 1 | 0 3 2 0 | 0 3 2 2,5 5 1 1 | 5 0 1 0 | 6 3 0 0 | 6 0 0 0,0 0 1 0 | 2 0 1 1 | 2 2 3 4 | 0 0 3 0,0 0 1 1 | 5 5 1 0 | 5 6 3 0 | 0 6 0 0,6145.945959
6745/11930,3L/3L/2I/1/0/0,1/0/0/3L90/3L/2I90,2346240,32649,60,1 0 2 0 | 1 1 2 2 | 0 0 4 3 | 0 0 0 3,1 6 6 0 | 0 0 4 0 | 5 4 4 0 | 5 5 0 0,2 0 3 0 | 2 2 3 0 | 0 4 1 0 | 0 0 1 1,0 0 5 0 | 0 4 5 5 | 4 4 1 0 | 0 6 6 0,5679.875667
6739/11930,3L/3L/2I/1/0/0,0/0/3L180/1/3L/2I90,2839552,36093,68,2 0 0 0 | 2 2 1 4 | 0 3 1 1 | 0 3 0 0,0 0 0 4 | 0 0 6 6 | 5 3 3 0 | 5 5 3 0,0 2 0 0 | 3 2 2 0 | 3 1 0 0 | 4 1 1 0,6 6 5 0 | 3 3 5 5 | 4 3 0 0 | 0 0 0 0,7682.852625
6775/11930,3L/3L/2I/1/0/0,3L/0/0/1/3L270/2I,2346240,30510,65,2 0 1 0 | 2 2 1 1 | 0 4 3 0 | 0 0 3 0,0 0 1 0 | 0 0 1 1 | 4 5 5 6 | 0 5 0 6,0 2 4 0 | 3 2 2 0 | 3 0 1 0 | 0 0 1 1,6 4 0 0 | 6 5 5 0 | 0 5 1 0 | 0 0 1 1,6169.303292
6752/11929,3L/3L/2I/1/0/0,0/0/2I/1/3L270/3L180,2262016,42584,103,1 0 3 4 | 1 1 3 0 | 0 2 0 0 | 0 2 2 0,0 3 4 0 | 0 3 5 5 | 6 6 5 0 | 0 6 0 0,2 0 3 4 | 2 2 3 0 | 0 1 0 0 | 0 1 1 0,0 3 4 0 | 0 3 5 5 | 6 6 5 0 | 0 6 0 0,5385.413291
6756/11930,3L/3L/2I/1/0/0,3L270/0/0/1/3L180/2I,2262016,31497,53,2 4 0 0 | 2 2 3 0 | 0 1 3 0 | 0 1 1 0,6 0 5 5 | 6 0 4 5 | 0 1 1 0 | 0 1 0 0,0 4 2 0 | 3 0 2 2 | 3 0 1 0 | 0 0 1 1,5 5 0 0 | 0 5 4 0 | 0 6 1 1 | 0 6 1 0,5766.255917
6774/11930,3L/3L/2I/1/0/0,1/0/3L/0/3L270/2I,2346240,23399,51,0 2 0 0 | 1 2 2 0 | 1 1 3 0 | 0 4 3 0,5 5 0 0 | 5 6 0 0 | 1 6 3 0 | 0 0 3 3,2 0 3 0 | 2 2 3 0 | 4 1 0 0 | 0 1 1 0,0 0 3 0 | 5 5 3 3 | 5 0 6 0 | 0 1 6 0,6284.702541
6754/11929,3L/3L/2I/1/0/0,2I/0/0/1/3L270/3L180,2262016,36064,84,0 3 0 0 | 1 3 2 0 | 1 1 2 2 | 4 0 0 0,0 0 5 5 | 0 1 5 0 | 4 1 6 6 | 0 0 0 6,1 0 0 0 | 1 1 2 0 | 0 3 2 2 | 0 3 0 4,0 1 0 0 | 0 1 5 5 | 6 6 5 4 | 0 6 0 0,5746.758208
6776/11930,3L/3L/2I/1/0/0,3L270/0/0/1/3L/2I,2346240,30702,68,3 2 0 0 | 3 2 2 0 | 0 1 0 0 | 0 1 1 4,5 0 0 0 | 5 5 0 0 | 6 1 1 0 | 6 1 4 0,2 4 0 0 | 2 2 0 0 | 3 1 0 0 | 3 1 1 0,4 6 5 0 | 0 6 5 5 | 0 1 1 0 | 0 1 0 0,5797.382958
6755/11929,3L/3L/2I/1/0/0,3L180/0/0/2I/3L270/1,2262016,23788,53,0 3 0 0 | 1 3 0 0 | 1 1 2 4 | 0 0 2 2,0 1 1 0 | 5 5 1 4 | 5 6 0 4 | 0 0 0 0,0 3 0 0 | 1 3 0 0 | 1 1 2 4 | 0 0 2 2,0 1 1 0 | 6 0 1 4 | 0 5 5 4 | 0 5 0 0,6186.320917
6741/11930,3L/3L/2I/1/0/0,3L/0/0/1/3L180/2I90,2839552,30855,60,0 0 1 0 | 0 3 1 1 | 2 3 0 0 | 2 2 4 0,0 0 0 0 | 5 5 1 0 | 0 5 1 1 | 6 6 0 4,0 0 1 0 | 0 2 1 1 | 3 2 2 0 | 3 4 0 0,0 0 0 0 | 5 5 1 0 | 0 5 1 1 | 6 6 4 0,7746.241125
6777/11930,3L/3L/2I/1/0/0,3L270/3L/0/0/2I/1,2346240,13629,59,2 0 0 0 | 2 2 0 0 | 4 3 1 0 | 0 3 1 1,2 0 5 0 | 2 2 5 0 | 0 0 1 1 | 0 0 1 6,2 0 0 0 | 2 2 0 0 | 3 4 1 0 | 3 0 1 1,2 0 5 0 | 2 2 5 0 | 0 0 1 1 | 0 0 1 6,7413.119625
6754/11929,3L/3L/2I/1/0/0,2I/0/0/3L180/3L270/1,2262016,23782,54,0 3 1 0 | 2 3 1 1 | 2 2 0 0 | 0 4 0 0,0 6 1 0 | 5 5 1 0 | 5 4 4 0 | 0 0 4 0,0 0 1 0 | 2 0 1 1 | 2 2 3 0 | 0 4 3 0,0 6 1 0 | 5 5 1 0 | 5 4 4 0 | 0 0 4 0,6276.993916
